moth,day,temperatura max,temperatura min,humedad,presion,velocidad viento,Fecha corta
julio,1,30,12,100,1028,25.9,2022-07-01
julio,2,28,15,100,1027,31.5,2022-07-02
julio,3,30,16,100,1028,25.9,2022-07-03
julio,4,27,15,100,1035,37,2022-07-04
julio,5,27,17,82.5,1029,35.2,2022-07-05
julio,6,28,12,100,1028,42.6,2022-07-06
julio,7,26,14,100,1028,27.8,2022-07-07
julio,8,29,15,100,1029,33.3,2022-07-08
julio,9,29,15,87.8,1031,35.2,2022-07-09
julio,10,29,12,100,1030,37,2022-07-10
julio,11,30,11,100,1028,31.5,2022-07-11
julio,12,30,12,100,1027,37,2022-07-12
julio,13,28,13,100,1028,33.3,2022-07-13
julio,14,27,13,100,1028,33.3,2022-07-14
julio,15,27,11,100,1029,37,2022-07-15
julio,16,26,16,82.6,1028,46.3,2022-07-16
julio,17,27,14,100,1028,35.2,2022-07-17
julio,18,26,14,82.1,1028,29.6,2022-07-18
julio,19,30,12,100,1030,20.4,2022-07-19
julio,20,29,15,100,1029,44.4,2022-07-20
julio,21,31,13,100,1027,35.2,2022-07-21
julio,22,30,11,71.2,1028,33.3,2022-07-22
julio,23,28,13,100,1028,29.6,2022-07-23
julio,24,27,13,100,1029,37,2022-07-24
julio,25,26,14,87.7,1028,33.3,2022-07-25
julio,26,29,13,87.7,1029,33.3,2022-07-26
julio,27,25,13,100,1028,27.8,2022-07-27
julio,28,24,11,100,1028,27.8,2022-07-28
julio,29,23,16,100,1028,27.8,2022-07-29
julio,30,26,13,100,1029,33.3,2022-07-30
julio,31,27,11,100,1030,27.8,2022-07-31
agosto,1,27,13,100,1030,29.6,2022-08-01
agosto,2,28,16,87.9,1030,29.6,2022-08-02
agosto,3,27,14,100,1028,37,2022-08-03
agosto,4,28,14,100,1027,27.8,2022-08-04
agosto,5,27,13,100,1027,33.3,2022-08-05
agosto,6,27,13,100,1028,33.3,2022-08-06
agosto,7,27,16,82.4,1029,37,2022-08-07
agosto,8,25,12,100,1029,38.9,2022-08-08
agosto,9,26,10,100,1029,33.3,2022-08-09
agosto,10,26,15,93.7,1030,27.8,2022-08-10
agosto,11,28,12,100,1030,25.9,2022-08-11
agosto,12,27,12,100,1028,35.2,2022-08-12
agosto,13,29,12,100,1028,29.6,2022-08-13
agosto,14,27,14,100,1028,37,2022-08-14
agosto,15,24,15,100,1026,37,2022-08-15
agosto,16,24,15,100,1026,20.4,2022-08-16
agosto,17,25,14,100,1028,33.3,2022-08-17
agosto,18,27,15,100,1028,29.6,2022-08-18
agosto,19,26,12,100,1027,27.8,2022-08-19
agosto,20,24,14,100,1028,25.9,2022-08-20
agosto,21,24,15,100,1030,25.9,2022-08-21
agosto,22,27,12,100,1028,24.1,2022-08-22
agosto,23,28,14,100,1026,42.6,2022-08-23
agosto,24,26,14,100,1027,25.9,2022-08-24
agosto,25,27,13,100,1028,25.9,2022-08-25
agosto,26,26,14,100,1028,27.8,2022-08-26
agosto,27,26,13,100,1027,25.9,2022-08-27
agosto,28,24,16,100,1025,24.1,2022-08-28
agosto,29,26,12,100,1026,33.3,2022-08-29
agosto,30,26,16,100,1027,22.2,2022-08-30
agosto,31,27,16,100,1028,27.8,2022-08-31
septiembre,1,26,14,100,1028,31.5,2022-09-01
septiembre,2,25,14,100,1026,35.2,2022-09-02
septiembre,3,24,16,100,1027,33.3,2022-09-03
septiembre,4,24,13,100,1026,40.7,2022-09-04
septiembre,5,24,15,100,1026,27.8,2022-09-05
septiembre,6,25,14,100,1029,22.2,2022-09-06
septiembre,7,24,14,100,1030,25.9,2022-09-07
septiembre,8,21,15,100,1027,18.5,2022-09-08
septiembre,9,25,10,100,1024,16.7,2022-09-09
septiembre,10,26,11,100,1026,27.8,2022-09-10
septiembre,11,25,13,100,1030,25.9,2022-09-11
septiembre,12,22,14,100,1030,25.9,2022-09-12
septiembre,13,24,11,100,1027,25.9,2022-09-13
septiembre,14,24,9,100,1026,27.8,2022-09-14
septiembre,15,21,13,100,1038,37,2022-09-15
septiembre,16,21,13,100,1027,33.3,2022-09-16
septiembre,17,24,14,100,1026,42.6,2022-09-17
septiembre,18,24,16,100,1026,27.8,2022-09-18
septiembre,19,23,16,100,1026,35.2,2022-09-19
septiembre,20,23,14,100,1027,35.2,2022-09-20
septiembre,21,24,12,100,1027,33.3,2022-09-21
septiembre,22,22,10,100,1028,37,2022-09-22
septiembre,23,23,14,100,1028,25.9,2022-09-23
septiembre,24,26,9,100,1029,27.8,2022-09-24
septiembre,25,26,11,100,1027,31.5,2022-09-25
septiembre,26,23,12,100,1026,33.3,2022-09-26
septiembre,27,20,14,93.7,1028,33.3,2022-09-27
septiembre,28,19,13,93.6,1031,27.8,2022-09-28
septiembre,29,18,10,100,1032,33.3,2022-09-29
septiembre,30,22,6,100,1029,29.6,2022-09-30
octubre,1,25,5,100,1028,29.6,2022-10-01
octubre,2,25,6,100,1028,35.2,2022-10-02
octubre,3,24,9,100,1029,33.3,2022-10-03
octubre,4,24,13,87.6,1029,27.8,2022-10-04
octubre,5,23,13,100,1028,25.9,2022-10-05
octubre,6,21,13,100,1029,27.8,2022-10-06
octubre,7,21,13,100,1031,25.9,2022-10-07
octubre,8,21,12,100,1032,33.3,2022-10-08
octubre,9,18,13,100,1032,31.5,2022-10-09
octubre,10,22,11,100,1030,40.7,2022-10-10
octubre,11,24,10,100,1029,27.8,2022-10-11
octubre,12,27,9,100,1028,25.9,2022-10-12
octubre,13,26,9,100,1028,29.6,2022-10-13
octubre,14,24,8,100,1028,27.8,2022-10-14
octubre,15,27,8,100,1028,22.2,2022-10-15
octubre,16,28,8,100,1027,27.8,2022-10-16
octubre,17,28,12,100,1026,22.2,2022-10-17
octubre,18,24,14,100,1027,33.3,2022-10-18
octubre,19,19,12,93.6,1031,38.9,2022-10-19
octubre,20,24,7,100,1031,24.1,2022-10-20
octubre,21,24,6,100,1028,20.4,2022-10-21
octubre,22,26,8,100,1027,18.5,2022-10-22
octubre,23,27,14,100,1027,27.8,2022-10-23
octubre,24,28,18,82.6,1028,31.5,2022-10-24
octubre,25,28,13,100,1028,24.1,2022-10-25
octubre,26,27,10,100,1028,22.2,2022-10-26
octubre,27,27,9,100,1027,29.6,2022-10-27
octubre,28,28,8,100,1028,25.9,2022-10-28
octubre,29,27,12,100,1029,22.2,2022-10-29
octubre,30,27,8,100,1028,24.1,2022-10-30
octubre,31,26,9,93.5,1025,22.2,2022-10-31
noviembre,1,26,9,100,1028,31.5,2022-11-01
noviembre,2,26,9,100,1032,25.9,2022-11-02
noviembre,3,27,8,100,1031,25.9,2022-11-03
noviembre,4,27,11,100,1028,25.9,2022-11-04
noviembre,5,26,9,71.4,1026,24.1,2022-11-05
noviembre,6,28,7,100,1027,16.7,2022-11-06
noviembre,7,25,9,100,1029,33.3,2022-11-07
noviembre,8,24,10,100,1031,29.6,2022-11-08
noviembre,9,25,10,100,1030,22.2,2022-11-09
noviembre,10,25,6,100,1028,31.5,2022-11-10
noviembre,11,25,6,81,1025,29.6,2022-11-11
noviembre,12,25,6,81,1028,18.5,2022-11-12
noviembre,13,26,13,93.6,1029,25.9,2022-11-13
noviembre,14,25,8,100,1028,22.2,2022-11-14
noviembre,15,26,5,86.9,1030,101.9,2022-11-15
noviembre,16,25,7,100,1032,25.9,2022-11-16
noviembre,17,24,9,100,1031,27.8,2022-11-17
noviembre,18,25,8,100,1029,29.6,2022-11-18
noviembre,19,25,8,100,1028,20.4,2022-11-19
noviembre,20,21,11,100,1031,29.6,2022-11-20
noviembre,21,20,11,100,1029,22.2,2022-11-21
noviembre,22,23,11,100,1030,16.7,2022-11-22
noviembre,23,25,12,100,1029,16.7,2022-11-23
noviembre,24,25,13,87.6,1027,27.8,2022-11-24
noviembre,25,25,9,100,1027,22.2,2022-11-25
noviembre,26,25,11,100,1027,25.9,2022-11-26
noviembre,27,24,12,93.6,1028,31.5,2022-11-27
noviembre,28,26,7,100,1027,31.5,2022-11-28
noviembre,29,25,7,100,1026,20.4,2022-11-29
noviembre,30,24,8,93.4,1027,37,2022-11-30
diciembre,1,22,11,100,1031,33.3,2022-12-01
diciembre,2,24,7,100,1031,22.2,2022-12-02
diciembre,3,23,8,100,1034,92.6,2022-12-03
diciembre,4,23,11,100,1034,33.3,2022-12-04
diciembre,5,25,4,100,1029,22.2,2022-12-05
diciembre,6,26,5,100,1028,11.1,2022-12-06
diciembre,7,26,4,86.8,1031,33.3,2022-12-07
diciembre,8,24,6,100,1032,22.2,2022-12-08
diciembre,9,24,7,100,1030,25.9,2022-12-09
diciembre,10,24,6,100,1029,25.9,2022-12-10
diciembre,11,25,4,93.2,1028,22.2,2022-12-11
diciembre,12,24,4,80.4,1027,22.2,2022-12-12
diciembre,13,22,5,93.3,1025,40.7,2022-12-13
diciembre,14,22,7,100,1024,29.6,2022-12-14
diciembre,15,24,2,74.7,1026,22.2,2022-12-15
diciembre,16,24,2,69.6,1026,27.8,2022-12-16
diciembre,17,23,3,69.6,1026,22.2,2022-12-17
diciembre,18,23,4,100,1028,18.5,2022-12-18
diciembre,19,24,4,100,1030,22.2,2022-12-19
diciembre,20,19,3,69.6,1034,29.6,2022-12-20
diciembre,21,23,3,74.9,1031,33.3,2022-12-21
diciembre,22,23,5,86.9,1029,25.9,2022-12-22
diciembre,23,19,7,93.5,1030,38.9,2022-12-23
diciembre,24,21,7,93.4,1031,18.5,2022-12-24
diciembre,25,19,6,100,1030,25.9,2022-12-25
diciembre,26,20,6,100,1030,25.9,2022-12-26
diciembre,27,20,3,100,1033,27.8,2022-12-27
diciembre,28,22,2,100,1029,31.5,2022-12-28
diciembre,29,20,5,93.3,1029,29.6,2022-12-29
diciembre,30,19,7,87.1,1028,27.8,2022-12-30
diciembre,31,23,5,100,1029,20.4,2022-12-31
